name,latitude,longitude
2274,-12.20221101,134.6262243
2275,-12.20290277,134.6259177
2276,-12.20223809,134.6241912
2277,-12.20225136,134.6241655
2278,-12.20316523,134.6230634
2279,-12.2047662,134.6231736
2280,-12.20478575,134.6232092
2281,-12.20593332,134.6255475
2282,-12.20597701,134.6255754
2283,-12.20760095,134.6277263
2284,-12.20873768,134.6337614
2285,-12.20873768,134.6337614
2286,-12.20871907,134.633825
2287,-12.20898149,134.6365062
2288,-12.20954984,134.6390035
2289,-12.20954691,134.6390364
2290,-12.20985589,134.6399647
2291,-12.20985769,134.6427396
2292,-12.21034553,134.6444022
2293,-12.21076263,134.6443728
2294,-12.21133928,134.643914
2295,-12.21264907,134.6437822
2296,-12.21266179,134.6437528
2297,-12.21284776,134.6427838
2298,-12.21699324,134.6410314
2299,-12.21826676,134.6418674
2300,-12.21984606,134.6427917
2301,-12.21984649,134.6428158
2302,-12.21984555,134.6428421
2303,-12.21952104,134.6458393
2304,-12.21965207,134.6469999
2305,-12.21966782,134.6470194
2306,-12.22050362,134.647961
2307,-12.22101734,134.6476708
2308,-12.2213611,134.6480572
2309,-12.22226049,134.6491612
2310,-12.22285927,134.6499337
2311,-12.22322777,134.650608
2312,-12.22346686,134.651578
2313,-12.22339466,134.6515513
2314,-12.22312927,134.6516388
2315,-12.22378948,134.6517458
2316,-12.22459517,134.6534046
2317,-12.22432544,134.654029
2318,-12.22528762,134.6551037
2319,-12.22528803,134.6551312
2320,-12.22579019,134.6560602
2321,-12.22652205,134.6573688
2322,-12.22767637,134.659519
2323,-12.22806889,134.6600987
2324,-12.22809379,134.6601374
2325,-12.23005902,134.6627376
2326,-12.23010167,134.6627698
2327,-12.2319078,134.6643718
2328,-12.2322577,134.6646353
2329,-12.23331691,134.6652761
2330,-12.23365805,134.6655029
2331,-12.23431431,134.6660223
2332,-12.23806304,134.6677627
2333,-12.23811156,134.667739
2334,-12.23959721,134.6671136
2335,-12.24020246,134.6670911
2336,-12.24315765,134.6667395
2337,-12.24433116,134.6656209
2338,-12.24563335,134.6639917
